haircut_name,face_shape,gender,hair_ratio,vertical_extent,hair_width,coverage_top,texture_estimate
French Crop,O,Male,0.420997112,0.220833333,270,21.30598958,10.14583158
French Crop,O,Male,0.425345357,0.229166667,271,21.265625,11.44244021
French Crop,O,Male,0.426077951,0.225,269,21.31380208,12.49715801
French Crop,O,Male,0.426114217,0.227083333,270,21.42708333,13.07719111
French Crop,O,Male,0.429457288,0.227083333,269,21.59505208,12.95471651
French Crop,S,Male,0.345611555,0.166666667,252,20.64583333,25.18825986
French Crop,S,Male,0.377805372,0.152083333,252,20.7578125,19.79702134
French Crop,S,Male,0.401596227,0.1875,256,19.95833333,22.86402371
French Crop,S,Male,0.396363618,0.1625,255,20.57942708,24.51699928
French Crop,S,Male,0.405034521,0.160416667,253,19.81119792,22.87420836
French Crop,S,Male,0.401968129,0.1625,253,20.015625,27.39546075
French Crop,S,Male,0.400213956,0.15625,253,19.75520833,26.80388018
French Crop,S,Male,0.397691899,0.160416667,253,19.68489583,27.21829707
French Crop,S,Male,0.415450428,0.177083333,254,19.23828125,23.29331135
French Crop,S,Male,0.402859059,0.16875,259,18.40494792,24.56035792
French Crop,S,Male,0.423237228,0.0875,230,17.5859375,30.46412207
French Crop,S,Male,0.518405212,0.120833333,231,17.54947917,27.71199929
French Crop,S,Male,0.486654126,0.147916667,235,17.55598958,28.51848603
French Crop,S,Male,0.55287887,0.166666667,233,17.44401042,31.50865154
French Crop,S,Male,0.589249029,0.158333333,232,17.40625,31.69624173
French Crop,S,Male,0.563846632,0.133333333,233,17.15234375,28.6667699
French Crop,S,Male,0.58321182,0.135416667,234,17.18619792,30.13185794
French Crop,S,Male,0.590166407,0.135416667,235,16.74739583,29.87241031
French Crop,S,Male,0.593791309,0.1375,237,16.7890625,31.4470776
French Crop,S,Male,0.597410384,0.139583333,236,16.74609375,32.29257642
French Crop,O,Male,0.497672986,0.05625,272,24.73046875,28.83768853
French Crop,O,Male,0.422855061,0.002083333,277,23.8515625,24.42355445
French Crop,O,Male,0.394900886,-0.00625,268,24.45703125,22.98110393
French Crop,O,Male,0.381507888,0.016666667,269,24.93619792,29.52384379
French Crop,O,Male,0.356906666,0.004166667,273,25.42838542,29.92229079
French Crop,O,Male,0.345565352,0.008333333,271,24.8359375,29.35713075
French Crop,O,Male,0.35217377,0.008333333,272,24.09244792,30.19528361
French Crop,O,Male,0.381735299,0.033333333,267,23.8203125,29.85957079
French Crop,O,Male,0.349717858,0.008333333,278,22.65364583,30.09437973
French Crop,O,Male,0.355239118,0.00625,285,21.86458333,21.52661607
French Crop,R,Male,0.413913619,0.129166667,270,20.23697917,30.58630326
French Crop,R,Male,0.427135731,0.11875,264,20.73697917,28.35871878
French Crop,R,Male,0.426573513,0.13125,284,19.3203125,29.64500537
French Crop,R,Male,0.421373604,0.116666667,296,20.05338542,30.24730733
French Crop,R,Male,0.414361174,0.11875,274,21.79427083,29.91375381
French Crop,R,Male,0.423943723,0.125,273,21.54427083,30.13359983
French Crop,R,Male,0.363380718,0.075,277,21.27734375,29.88267581
French Crop,R,Male,0.412110121,0.13125,282,19.84635417,28.2344872
French Crop,R,Male,0.404917179,0.122916667,285,19.23177083,29.83464331
French Crop,R,Male,0.365767613,0.077083333,280,19.57682292,28.69074262
French Crop,R,Male,0.565345271,0.179166667,279,14.72916667,17.45387877
French Crop,R,Male,0.559843494,0.183333333,283,15.05598958,16.69581888
French Crop,R,Male,0.539957474,0.183333333,284,14.80859375,18.7977689
French Crop,R,Male,0.571177548,0.202083333,277,15.11848958,19.96044751
French Crop,R,Male,0.554094923,0.183333333,279,14.70572917,18.84615385
French Crop,R,Male,0.577036834,0.202083333,282,15.19791667,18.47119064
French Crop,R,Male,0.569945072,0.202083333,280,15.16276042,19.48735641
French Crop,R,Male,0.548945635,0.185416667,276,14.4453125,19.01930992
French Crop,R,Male,0.553808955,0.183333333,271,14.671875,19.22731996
French Crop,R,Male,0.582563604,0.202083333,272,14.52083333,20.30843595
French Crop,S,Male,0.506571686,0.060416667,219,11.58463542,40.89311768
French Crop,S,Male,0.663361506,0.064583333,222,11.73828125,42.25345985
French Crop,S,Male,0.886061993,0.141666667,218,11.66796875,41.87550286
French Crop,S,Male,0.765384964,0.070833333,216,10.78255208,41.32724013
French Crop,S,Male,0.780740654,0.070833333,218,11.13802083,41.15561972
French Crop,S,Male,0.942681843,0.15,228,11.43489583,41.909087
French Crop,S,Male,0.771959728,0.060416667,211,11.29296875,42.47544554
French Crop,S,Male,0.942748611,0.154166667,228,11.06119792,42.13043478
French Crop,S,Male,0.776370324,0.06875,209,11.54166667,42.93059585
French Crop,S,Male,0.785015307,0.075,216,11.38802083,42.76078395
French Crop,S,Male,0.612064616,0.160416667,261,15.84895833,4.07079646
French Crop,S,Male,0.593414778,0.170833333,262,16.06380208,4.169987632
French Crop,S,Male,0.600721181,0.18125,261,15.68359375,4.54662134
French Crop,S,Male,0.587462535,0.16875,260,15.32421875,4.261417158
French Crop,S,Male,0.595146012,0.175,262,15.45052083,4.486209042
French Crop,S,Male,0.592097553,0.177083333,259,15.5,3.987137706
French Crop,S,Male,0.602902,0.185416667,263,15.90234375,4.726097661
French Crop,S,Male,0.610511603,0.1875,260,15.375,4.245846132
French Crop,S,Male,0.592828754,0.172916667,260,15.56380208,4.480830671
French Crop,S,Male,0.592929279,0.175,260,16.00520833,4.383725776
French Crop,D,Male,0.480382795,0.120833333,287,18.76692708,51.22884861
French Crop,D,Male,0.496199742,0.129166667,285,20.75,52.09980647
French Crop,D,Male,0.498131069,0.11875,286,19.78776042,51.98347107
French Crop,D,Male,0.500009744,0.122916667,284,18.36328125,52.02685473
French Crop,D,Male,0.50269015,0.122916667,284,18.69140625,52.77307206
French Crop,D,Male,0.505450631,0.129166667,284,18.05338542,51.78141351
French Crop,D,Male,0.507510052,0.141666667,285,18.51302083,52.00842416
French Crop,D,Male,0.480877035,0.114583333,287,18.16145833,52.58610573
French Crop,D,Male,0.487899242,0.125,285,18.76432292,52.24068253
French Crop,D,Male,0.506115522,0.13125,284,18.63020833,52.12775771
French Crop,D,Male,0.60023156,0.18125,241,3.223958333,26.80353902
French Crop,D,Male,0.627597629,0.1875,243,3.203125,26.75580886
French Crop,D,Male,0.628333213,0.185416667,241,3.565104167,27.89042408
French Crop,D,Male,1.080569637,0.46875,242,3.3828125,28.33056722
French Crop,D,Male,0.633952048,0.177083333,242,3.213541667,26.79523002
French Crop,D,Male,1.109420414,0.4875,242,3.350260417,25.85013146
French Crop,D,Male,1.082317386,0.477083333,241,3.388020833,27.3953624
French Crop,D,Male,0.665102255,0.195833333,242,3.484375,28.47447596
